data_fim_comissao,id_comissao,nome_comissao,sigla_comissao
2017-04-19T00:00:00-03:00,1000000070,CPI Epidemia da Dengue,CPI-Deng
2017-08-09T00:00:00-03:00,1000000071,CPI Planos de Saúde,CPI-PSau
2017-08-16T00:00:00-03:00,1000000111,CPI Cartelização da Citricultura,CPI-Citri
2017-10-10T00:00:00-03:00,1000000137,CPI Detran,CPI-Detr
2017-12-05T00:00:00-02:00,1000000138,CPI Pátio de Apreensão de Veículos,CPI-Patio
2018-05-09T00:00:00-03:00,1000000186,CPI Maus-Tratos contra Animais,CPI-Maus
2017-04-06T00:00:00-03:00,1000000036,CPI Vandalismo,CPI-Vand
2017-06-03T00:00:00-03:00,1000000069,CPI Automedicação,CPI-AMed
,1000000128,Comissão de Defesa dos Direitos do Consumidor,CDDC
2019-03-14T00:00:00-03:00,1000000287,CPI Refugiados,CPI-Refug
2019-11-05T00:00:00-02:00,1000000428,CPI - Barragem Salto Grande,CPI-BSGr
2019-11-06T00:00:00-02:00,1000000429,CPI - Venda de Animais,CPI-VeAnim
2019-11-06T00:00:00-02:00,1000000430,CPI - FURP - Fundação para o Remédio Popular,CPI-FURP
2019-11-05T00:00:00-02:00,1000000431,CPI - Gestão das Universidades Públicas,CPI-UniPub
2019-11-09T00:00:00-02:00,1000000432,CPI - Táxi Aéreo,CPI-TaxAr
2018-09-17T00:00:00-03:00,1000000225,CPI - Organizações Sociais da Saúde - OS's,CPI - OS's
2018-05-16T00:00:00-03:00,1000000188,CPI Operação Ethos/Condepe,CPI-Opera
2018-10-19T00:00:00-03:00,1000000247,CPI Crimes Cibernéticos,CPI-CriCib
2018-10-19T00:00:00-03:00,1000000248,CPI Serviços de Atendimento ao Consumidor - SACs,CPI-SAC
2018-04-04T00:00:00-03:00,1000000187,CPI Fosfoetanolamina,CPI-Fosfo
2018-10-19T00:00:00-03:00,1000000246,CPI Empresas de Telemarketing,CPI-EmpTel
2018-10-19T00:00:00-03:00,1000000249,CPI Feiras Itinerantes,CPI-FeiIt
2019-03-14T00:00:00-03:00,1000000289,CPI Situação dos Lixões e Aterros,CPI-LixAte
2019-03-14T00:00:00-03:00,1000000290,CPI Fake News,CPI-FakeNw
,1000000297,Comissão de Defesa e dos Direitos das Mulheres,CDDM
2018-05-08T00:00:00-03:00,1000000209,CPI T4F Entretenimento S/A,CPI-T4F
2020-12-02T00:00:00-02:00,1000000601,CPI - Quarteirizações,CPI-Quart
2020-12-03T00:00:00-02:00,1000000602,CPI - Fake News - Eleições 2018,CPIFakNews
2019-03-14T00:00:00-03:00,1000000288,CPI Exploração Infanto-Juvenil,CPI-ExpInf
2020-12-06T00:00:00-02:00,1000000598,CPI - Transporte Escolar,CPI-TraEsc
,1000000596,Comissão de Relações Internacionais,CRI
2020-12-03T00:00:00-02:00,1000000599,CPI - Violência Sexual Contra Estudantes de Ensino Superior,CPI-VioSex
2020-12-06T00:00:00-02:00,1000000600,CPI - Segurança dos Alojamentos dos Clubes Desportivos,CPI-SegAlo
